IMPHY_ID,Phytochemical_Name,SMILES,RO5_Status
IMPHY006972,1-Octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,Failed (1 violation)
IMPHY003525,Nonanal,CCCCCCCCC=O,Passed
IMPHY010053,"9,12-Octadecadien-1-OL",CCCCC/C=C/C/C=C/CCCCCCCCO,Failed (1 violation)
IMPHY012015,Methylphenol,Cc1ccccc1O.Cc1cccc(c1)O.Cc1ccc(cc1)O,Failed (1 violation)
IMPHY012654,Nerol,,No SMILES
IMPHY014989,trans-Linalool oxide,C=C[C@]1(C)CC[C@H](O1)C(O)(C)C,Passed
IMPHY001618,Oryzalexin A,C=C[C@]1(C)CC[C@@H]2C(=C1)C(=O)C[C@H]1[C@@]2(C)CC[C@H](C1(C)C)O,Passed
IMPHY005282,Oryzalexin B,C=C[C@]1(C)CC[C@@H]2C(=C1)[C@@H](O)C[C@H]1[C@@]2(C)CCC(=O)C1(C)C,Passed
IMPHY005370,Momilactone A,C=C[C@]1(C)CC[C@@H]2C(=C[C@@H]3[C@@H]4[C@]2(C)CCC(=O)[C@@]4(C(=O)O3)C)C1,Passed
IMPHY006884,"(1S,2R,5R,9R,12R,13S,18R)-5-ethenyl-13-hydroxy-5,12-dimethyl-10,14-dioxapentacyclo[11.2.2.11,9.02,7.012,18]octadec-7-en-11-one",C=C[C@]1(C)CC[C@@H]2C(=C[C@@H]3[C@@H]4[C@@]52CC[C@](OC5)([C@@]4(C(=O)O3)C)O)C1,Passed
IMPHY006919,oryzalexin D,C=C[C@]1(C)CC[C@@H]2C(=C1)[C@@H](O)C[C@H]1[C@@]2(C)CC[C@H](C1(C)C)O,Passed
IMPHY006920,oryzalexin E,C=C[C@]1(C)CC[C@@]2(C(=C1)CC[C@H]1[C@@]2(C)CC[C@H](C1(C)C)O)O,Passed
IMPHY012232,Sakuranetin,COc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(cc1)O,Passed
IMPHY012406,Oryzalexin C,C=C[C@]1(C)CC[C@@H]2C(=C1)C(=O)C[C@H]1[C@@]2(C)CCC(=O)C1(C)C,Passed
IMPHY012548,Carlinoside,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)c([C@@H]2OC[C@@H]([C@@H]([C@H]2O)O)O)c2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,Failed (3 violations)
IMPHY014501,"(1R,2S,4R,7R,10S,13R)-6-(hydroxymethyl)-2,6,12-trimethyltetracyclo[11.2.1.01,10.02,7]hexadec-11-en-4-ol",OCC1(C)C[C@H](O)C[C@]2([C@H]1CC[C@@H]1[C@@]32CC[C@H](C3)C(=C1)C)C,Passed
IMPHY015020,Neocarlinoside,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)c([C@H]2OC[C@@H]([C@@H]([C@H]2O)O)O)c2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,Failed (3 violations)
IMPHY015099,Tricin 7-glucoside,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2cc(OC)c(c(c2)OC)O)C(C(C1O)O)O,Failed (2 violations)
IMPHY000060,Myristic acid,CCCCCCCCCCCCCC(=O)O,Passed
IMPHY000158,Pyridoxine,OCc1c(CO)cnc(c1O)C,Passed
IMPHY000275,Mugineic acid,O[C@H](C(=O)O)CCN[C@@H]([C@H](CN1CC[C@H]1C(=O)O)O)C(=O)O,Failed (1 violation)
IMPHY000308,Hexadecane,CCCCCCCCCCCCCCCC,Failed (1 violation)
IMPHY001268,Peonidin-3-glucoside,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(cc3[o+]c2c2ccc(c(c2)OC)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Failed (1 violation)
IMPHY001461,"(2,3,4,5,6-pentahydroxycyclohexyl) 2-(1H-indol-3-yl)acetate",O=C(Cc1c[nH]c2c1cccc2)OC1C(O)C(O)C(C(C1O)O)O,Failed (1 violation)
IMPHY001516,Decane,CCCCCCCCCC,Passed
IMPHY001726,avenic acid B,OCC[C@@H](C(=O)O)NCC[C@@H](C(=O)O)O,Passed
IMPHY001813,Trimethylamine,CN(C)C,Passed
IMPHY001856,Stachydrine,[O-]C(=O)[C@@H]1CCC[N+]1(C)C,Passed
IMPHY001915,Octadecane,CCCCCCCCCCCCCCCCCC,Failed (1 violation)
IMPHY001931,Vanillin,COc1cc(C=O)ccc1O,Passed
IMPHY001962,Xanthine,O=c1[nH]c(=O)c2c([nH]1)nc[nH]2,Passed
IMPHY002875,Undecane,CCCCCCCCCCC,Passed
IMPHY002938,"[1-Hexadecanoyloxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] octadeca-9,12-dienoate",CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COC1OC(COC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,Failed (4 violations)
IMPHY003128,Triacontanal,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,Failed (1 violation)
IMPHY003500,Citric acid,OC(=O)C(CC(=O)O)(CC(=O)O)O,Passed
IMPHY004631,Stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,Failed (1 violation)
IMPHY005139,5-(12-Heptadecenyl)-resorcinol,CCCCC=CCCCCCCCCCCCc1cc(O)cc(c1)O,Failed (1 violation)
IMPHY005289,Dotriacontanal,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,Failed (1 violation)
IMPHY005501,Allantoin,NC(=O)NC1NC(=O)NC1=O,Passed
IMPHY005601,Tricin,COc1cc(cc(c1O)OC)c1cc(=O)c2c(o1)cc(cc2O)O,Passed
IMPHY005797,3-Hydroxymugineic acid,O[C@H](C(=O)O)CCN[C@@H]([C@H](CN1C[C@H]([C@H]1C(=O)O)O)O)C(=O)O,Failed (1 violation)
IMPHY005839,Trigonelline,C[n+]1cccc(c1)C(=O)[O-],Passed
IMPHY006039,"1,2,4-Trimethylbenzene",Cc1ccc(c(c1)C)C,Passed
IMPHY006399,vitamin B1,OCCc1sc[n+](c1C)Cc1cnc(nc1N)C.[Cl-],Passed
IMPHY006951,Eicosane,CCCCCCCCCCCCCCCCCCCC,Failed (1 violation)
IMPHY006971,Methyl palmitate,CCCCCCCCCCCCCCCC(=O)OC,Failed (1 violation)
IMPHY006988,Hypoxanthine,O=c1nc[nH]c2c1[nH]cn2,Passed
IMPHY007124,Delphinidin,Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1cc(O)c(c(c1)O)O.[Cl-],Failed (1 violation)
IMPHY007151,Pantothenic acid,OCC([C@H](C(=O)NCCC(=O)O)O)(C)C,Passed
IMPHY007202,Nonane,CCCCCCCCC,Passed
IMPHY007327,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,Failed (1 violation)
IMPHY007385,Nicotinamide,NC(=O)c1cccnc1,Passed
IMPHY007450,Oxalic acid,OC(=O)C(=O)O,Passed
IMPHY007903,Dibutyl phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,Passed
IMPHY008728,"[3-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-2-octadecanoyloxypropyl] octadecanoate",CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(OC1C(O)C(O)C(C(C1O)O)O)O,Failed (4 violations)
IMPHY008937,Vitamin E,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C)CCC[C@@H](CCCC(C)C)C,Failed (1 violation)
